县（市）区,固定资产投资总额,项目投资,房地产开发投资
福州市,5823.3857,4129.2059,1694.1798
市区,2974.4208,1922.5001,1051.9207
鼓楼区,525.4872065,460.1075065,65.3797
台江区,171.2749018,97.97100176,73.3039
仓山区,658.4050073,311.1085073,347.2965
晋安区,659.8902259,407.1513259,252.7389
马尾区,353.7577079,177.2540079,176.5037
长乐区,605.6057503,468.9077503,136.698
福清市,1009.515851,845.4109511,164.1049
闽侯县,561.4188197,277.3893197,284.0295
连江县,441.9633798,377.1026798,64.8607
罗源县,167.6421,158.6494,8.9927
闽清县,91.9705,73.7772,18.1933
永泰县,111.6319315,83.80013152,27.8318
平潭县,464.8223,390.5761,74.2462
