年份,地区生产总值,第一产业,第二产业,第三产业,工业,建筑业,交通运输仓储邮政业,批发零售餐饮业,金融业,房地产业,其它服务业,人均地区生产总值(元)
1950,1.4583,0.7919,0.2051,0.4613,,,,,,,,66
1952,2.3431,1.1231,0.4333,0.7867,0.2339,0.1994,0.1507,0.1814,,,,100
1957,4.0773,1.4547,0.9449,1.6777,0.5041,0.4408,0.3214,0.3539,,,,153
1962,4.7418,1.5684,1.1327,2.0407,0.7484,0.3842,0.391,0.6256,,,,158
1965,6.2052,2.1946,1.7225,2.2881,1.2846,0.4379,0.4383,0.4976,,,,192
1970,6.9747,2.5181,2.4039,2.0527,1.8789,0.525,0.387,0.509,,,,199
1975,9.2367,2.4119,4.4093,2.4155,3.4001,1.0092,0.4628,0.6868,,,,229
1978,12.6791,3.3933,5.9896,3.2962,4.5308,1.4588,0.6369,0.8652,0.8181,0.1791,0.7969,293
1979,14.9738,4.2468,6.8698,3.8572,5.0574,1.8124,0.745,1.012,0.9944,0.2094,0.8964,340
1980,18.1671,5.1745,8.2093,4.7833,5.5826,2.6267,0.9226,1.2532,1.2408,0.2643,1.1024,406
1985,39.7567,12.1532,17.7895,9.814,14.3136,3.756,2.0473,2.7578,2.6219,0.5544,2.0453,817
1990,102.3959,29.4057,41.2126,31.7776,34.5036,6.709,6.21,6.1317,7.9921,1.7265,9.7173,1936
1991,118.8295,31.7474,51.1091,35.973,40.7668,10.3423,7.658,6.8167,9.2864,1.9904,10.2215,2190
1992,150.0027,39.6097,62.9221,47.4709,49.8552,13.0669,10.8374,9.1788,12.7291,2.6266,12.099,2763
1993,245.7166,53.0391,89.1704,103.5071,69.1612,20.0092,22.9609,26.695,20.1312,7.3357,26.3843,4441
1994,349.0842,72.8654,131.4413,144.7775,103.3673,28.074,35.7843,35.8764,24.7363,12.8917,35.4888,6244
1995,464.1433,98.5156,167.191,198.4367,130.0113,37.1797,48.5195,49.1104,37.3274,15.5118,47.9676,8219
1996,575.581,110.8933,220.5312,244.1565,170.4501,50.0811,66.0012,68.5883,27.8543,16.1692,65.5435,10126
1997,687.3322,120.9896,267.4609,298.8816,214.7299,52.731,73.441,82.8821,47.7026,18.6448,76.2111,11891
1998,776.66,128.5522,317.2875,331.8203,253.6111,63.6764,79.4626,94.0001,46.7615,23.4067,88.1894,13330
1999,827.385,134.8355,348.0443,344.5053,285.5006,62.5437,84.8997,97.6903,42.5756,25.3258,94.0139,14308
2000,876.3866,135.1819,378.8885,362.3162,321.152,57.7365,90.2028,112.5373,39.078,27.6047,92.8934,14841
2001,943.2352,132.6433,409.4302,401.1617,346.9752,62.455,97.756,121.196,41.3561,32.0973,108.7563,15835
2002,1011.6906,136.0279,449.6871,425.9756,385.3609,64.3262,103.1353,131.8678,37.7195,36.7755,116.4775,16901
2003,1162.1308,143.6978,548.9984,469.4345,463.8391,85.1593,112,141.8818,45.1263,44.7554,125.671,17695
2004,1335.209,163.1635,638.5658,533.4798,539.5622,99.0036,127.4062,145.448,52.9418,48.9638,158.72,20292
2005,1491.3998,174.7751,670.7966,645.8281,564.1988,106.5978,100.5975,168.2811,47.4732,81.7981,272.8433,22529
2006,1686.9271,176.1368,721.0483,789.742,601.852,119.1963,111.1982,184.3246,67.9661,124.3742,329.3032,25216
2007,2029.2767,204.2409,847.4157,977.6201,699.5548,147.8609,118.5324,244.0691,103.9662,124.2843,420.653,30130
2008,2355.671,236.4867,977.3002,1141.8841,791.2404,186.0598,133.8803,289.6368,136.8952,124.3969,495.7449,33884
2009,2604.0448,242.0004,1108.188,1253.8565,891.6393,216.5487,138.5113,317.2696,155.568,130.075,555.3123,37041
2010,3123.4091,282.727,1401.9195,1438.7627,1127.585,274.3345,158.1008,387.1916,184.7059,134.9835,621.2064,44000
2011,3736.3796,325.0916,1711.1859,1700.1021,1355.1859,356,177.583,446.7801,246.1557,166.0739,647.7196,52152
2012,4210.9279,367.7283,1905.4971,1937.7025,1481.9871,423.51,182.74,481.079,290.9155,222.7017,743.759,58202
2013,4685.0151,387.6188,2134.8267,2162.5696,1654.5111,485.61,197.5901,519.9658,333.5424,252.1028,859.3685,64134
2014,5169.1647,415.9141,2352.1541,2401.0965,1816.8681,541.1,228.9913,559.9869,405.6917,243.2344,963.1922,69995
2015,5618.0844,434.6949,2449.5547,2733.8347,1875.2552,580.4047,243.47,589.8586,454.8002,261.6584,1184.0475,75259
2016,6197.6395,492.2506,2590.425,3114.964,1978.8331,621.459,252.5898,622.0386,507.0225,317.2464,1416.0667,82251
2017,7085.5222,461.2234,2913.4103,3710.8885,2227.1516,698.196,325.559,698.0439,596.6217,378.8179,1711.846,93047
