责任部门,项目数,年度计划投资,完成投资,完成投资比例,计划建成或部分建成数,实际建成或部分建成数,建成率
合计,504,2004.03,1715,85.58%,123,88,71.54%
鼓楼区,25,44.81,39.66,88.51%,5,4,80.00%
台江区,21,92.14,83.25,90.36%,4,1,25.00%
仓山区,31,236.5,204.51,86.47%,0,8,-
晋安区,28,129.1,113.51,87.93%,7,3,42.86%
马尾区,45,66.38,60.69,91.43%,18,13,72.22%
长乐区,41,238.66,206.19,86.40%,24,11,45.83%
福清市,65,251.33,214.72,85.43%,22,15,68.18%
闽侯县,48,165.34,143.82,86.98%,8,7,87.50%
连江县,29,206.25,169.1,81.99%,4,3,75.00%
罗源县,36,53.7,46.84,87.22%,14,12,85.71%
闽清县,16,31.7,27.81,87.75%,2,1,50.00%
永泰县,19,38.51,33.14,86.06%,6,4,66.67%
高新区,20,41.67,32.66,78.39%,3,1,-
